Date,Time,ID,pH,Air Temperature,TDS,Light Intensity,Humidity,EC,Label
20/05/2022,07:02:00 ,ICPKNW,7.9,39,445,207,16,0.89,17
20/05/2022,07:02:04 ,ICPKNW,7.7,28,808,256,33,1.616,5
20/05/2022,07:02:08 ,ICPKNW,7.5,17,1342,957,91,2.684,13
20/05/2022,07:02:12 ,ICPKNW,6.8,25,361,549,87,0.722,17
20/05/2022,07:02:16 ,ICPKNW,5.3,20,1239,420,38,2.478,4
20/05/2022,07:02:20 ,ICPKNW,6.8,25,883,357,97,1.766,5
20/05/2022,07:02:24 ,ICPKNW,7.8,17,594,482,48,1.188,17
20/05/2022,07:02:28 ,ICPKNW,5.4,27,492,355,67,0.984,16
20/05/2022,07:02:32 ,ICPKNW,4.6,40,897,900,50,1.794,12
20/05/2022,07:02:36 ,ICPKNW,7.2,31,681,641,51,1.362,15
20/05/2022,07:02:40 ,ICPKNW,6,32,415,359,30,0.83,3
20/05/2022,07:02:44 ,ICPKNW,5.8,20,358,662,76,0.716,11
20/05/2022,07:02:48 ,ICPKNW,5.9,38,496,712,14,0.992,11
20/05/2022,07:02:52 ,ICPKNW,4.3,22,1205,36,47,2.41,4
20/05/2022,07:02:56 ,ICPKNW,5.3,39,1387,979,49,2.774,12
20/05/2022,07:03:00 ,ICPKNW,7.4,35,1426,671,33,2.852,13
20/05/2022,07:03:04 ,ICPKNW,7.6,38,285,330,42,0.57,17
20/05/2022,07:03:08 ,ICPKNW,6.7,16,1267,997,72,2.534,13
20/05/2022,07:03:12 ,ICPKNW,7.8,38,1091,781,53,2.182,13
20/05/2022,07:03:16 ,ICPKNW,5,26,546,985,28,1.092,14
20/05/2022,07:03:20 ,ICPKNW,6.4,28,576,579,63,1.152,11
20/05/2022,07:03:24 ,ICPKNW,4.1,29,647,991,94,1.294,14
20/05/2022,07:03:28 ,ICPKNW,6.5,39,116,1017,37,0.232,11
20/05/2022,07:03:32 ,ICPKNW,7.3,16,664,157,64,1.328,17
20/05/2022,07:03:36 ,ICPKNW,6.2,26,984,658,12,1.968,2
20/05/2022,07:03:40 ,ICPKNW,6.7,34,1359,605,21,2.718,13
20/05/2022,07:03:44 ,ICPKNW,4.4,40,891,871,71,1.782,12
20/05/2022,07:03:48 ,ICPKNW,4,39,934,497,85,1.868,4
20/05/2022,07:03:52 ,ICPKNW,5.8,38,154,968,49,0.308,11
20/05/2022,07:03:56 ,ICPKNW,5.8,33,342,668,33,0.684,11
20/05/2022,07:04:00 ,ICPKNW,6,35,1073,666,49,2.146,2
20/05/2022,07:04:04 ,ICPKNW,4.7,35,892,378,19,1.784,4
20/05/2022,07:04:08 ,ICPKNW,5.2,35,871,554,62,1.742,12
20/05/2022,07:04:12 ,ICPKNW,7.1,31,1394,537,21,2.788,5
20/05/2022,07:04:16 ,ICPKNW,5.8,19,945,853,35,1.89,2
20/05/2022,07:04:20 ,ICPKNW,6.2,32,758,135,78,1.516,0
20/05/2022,07:04:24 ,ICPKNW,7.8,29,1030,728,77,2.06,13
20/05/2022,07:04:28 ,ICPKNW,4.6,19,662,312,26,1.324,16
20/05/2022,07:04:32 ,ICPKNW,4.6,24,561,933,99,1.122,14
20/05/2022,07:04:36 ,ICPKNW,5.4,22,762,784,60,1.524,12
20/05/2022,07:04:40 ,ICPKNW,4.1,21,330,882,48,0.66,14
20/05/2022,07:04:44 ,ICPKNW,6.1,37,1498,434,36,2.996,0
20/05/2022,07:04:48 ,ICPKNW,6.4,20,104,682,98,0.208,11
20/05/2022,07:04:52 ,ICPKNW,4.5,36,1343,162,79,2.686,4
20/05/2022,07:04:56 ,ICPKNW,5.2,21,602,970,32,1.204,14
20/05/2022,07:05:00 ,ICPKNW,4.1,31,1497,202,76,2.994,4
20/05/2022,07:05:04 ,ICPKNW,5.3,39,296,516,35,0.592,16
20/05/2022,07:05:08 ,ICPKNW,5.9,22,1458,600,60,2.916,2
20/05/2022,07:05:12 ,ICPKNW,4.2,40,844,164,36,1.688,4
20/05/2022,07:05:16 ,ICPKNW,6.1,16,1368,808,77,2.736,2
20/05/2022,07:05:20 ,ICPKNW,5.4,20,1447,771,75,2.894,12
20/05/2022,07:05:24 ,ICPKNW,6.4,22,709,109,20,1.418,0
20/05/2022,07:05:28 ,ICPKNW,5.4,36,991,1005,49,1.982,12
20/05/2022,07:05:32 ,ICPKNW,4.5,25,1443,9,18,2.886,4
20/05/2022,07:05:36 ,ICPKNW,4.8,18,319,806,76,0.638,14
20/05/2022,07:05:40 ,ICPKNW,7.7,39,523,865,56,1.046,15
20/05/2022,07:05:44 ,ICPKNW,6.8,37,210,913,91,0.42,15
20/05/2022,07:05:48 ,ICPKNW,7.8,37,780,402,11,1.56,5
20/05/2022,07:05:52 ,ICPKNW,5.1,28,204,344,66,0.408,16
20/05/2022,07:05:56 ,ICPKNW,8,36,832,70,61,1.664,5
20/05/2022,07:06:00 ,ICPKNW,5.1,19,1494,953,61,2.988,12
20/05/2022,07:06:04 ,ICPKNW,7.3,20,1142,57,62,2.284,5
20/05/2022,07:06:08 ,ICPKNW,6.1,16,196,1019,54,0.392,11
20/05/2022,07:06:12 ,ICPKNW,6,34,358,395,95,0.716,3
20/05/2022,07:06:16 ,ICPKNW,6.3,29,950,56,76,1.9,0
20/05/2022,07:06:20 ,ICPKNW,5.4,20,1193,875,72,2.386,12
20/05/2022,07:06:24 ,ICPKNW,6.7,31,942,999,23,1.884,13
20/05/2022,07:06:28 ,ICPKNW,6.8,16,1188,352,38,2.376,5
20/05/2022,07:06:32 ,ICPKNW,6,18,207,738,79,0.414,11
20/05/2022,07:06:36 ,ICPKNW,4.4,17,928,546,16,1.856,4
20/05/2022,07:06:40 ,ICPKNW,6.3,26,1154,377,95,2.308,0
20/05/2022,07:06:44 ,ICPKNW,4.7,19,263,224,53,0.526,16
20/05/2022,07:06:48 ,ICPKNW,5.4,24,1197,408,44,2.394,4
20/05/2022,07:06:52 ,ICPKNW,4.2,28,939,652,67,1.878,12
20/05/2022,07:06:56 ,ICPKNW,6.9,17,105,792,64,0.21,15
20/05/2022,07:07:00 ,ICPKNW,5.5,19,180,824,73,0.36,11
20/05/2022,07:07:04 ,ICPKNW,8,18,222,836,28,0.444,15
20/05/2022,07:07:08 ,ICPKNW,4.3,38,152,144,74,0.304,16
20/05/2022,07:07:12 ,ICPKNW,5.5,20,778,972,71,1.556,2
20/05/2022,07:07:16 ,ICPKNW,8,26,140,566,23,0.28,15
20/05/2022,07:07:20 ,ICPKNW,7,24,767,547,43,1.534,5
20/05/2022,07:07:24 ,ICPKNW,5.4,29,586,987,41,1.172,14
20/05/2022,07:07:28 ,ICPKNW,4.3,22,678,267,99,1.356,16
20/05/2022,07:07:32 ,ICPKNW,5.5,18,1210,544,98,2.42,0
20/05/2022,07:07:36 ,ICPKNW,5.7,29,705,122,76,1.41,0
20/05/2022,07:07:40 ,ICPKNW,7.3,29,233,746,84,0.466,15
20/05/2022,07:07:44 ,ICPKNW,7.6,24,275,100,72,0.55,17
20/05/2022,07:07:48 ,ICPKNW,5.1,24,847,248,66,1.694,4
20/05/2022,07:07:52 ,ICPKNW,6.2,23,795,569,56,1.59,2
20/05/2022,07:07:56 ,ICPKNW,5.6,23,449,425,13,0.898,3
20/05/2022,07:08:00 ,ICPKNW,4.4,27,1362,102,77,2.724,4
20/05/2022,07:08:04 ,ICPKNW,4.1,31,865,559,48,1.73,12
20/05/2022,07:08:08 ,ICPKNW,7.4,25,1187,782,12,2.374,13
20/05/2022,07:08:12 ,ICPKNW,6.2,33,1298,858,38,2.596,2
20/05/2022,07:08:16 ,ICPKNW,4.4,33,1197,1009,77,2.394,12
20/05/2022,07:08:20 ,ICPKNW,4.3,18,590,579,73,1.18,14
20/05/2022,07:08:24 ,ICPKNW,7.4,33,918,9,15,1.836,5
20/05/2022,07:08:28 ,ICPKNW,6.7,33,544,198,28,1.088,17
20/05/2022,07:08:32 ,ICPKNW,5.4,39,1122,14,92,2.244,4
20/05/2022,07:08:36 ,ICPKNW,5.3,38,1489,711,63,2.978,12
20/05/2022,07:08:40 ,ICPKNW,8,29,1470,811,79,2.94,13
20/05/2022,07:08:44 ,ICPKNW,6,24,768,277,99,1.536,0
20/05/2022,07:08:48 ,ICPKNW,6.6,19,1119,641,35,2.238,13
20/05/2022,07:08:52 ,ICPKNW,7.4,38,1066,563,100,2.132,13
20/05/2022,07:08:56 ,ICPKNW,5.7,25,1117,319,44,2.234,0
20/05/2022,07:09:00 ,ICPKNW,5.9,40,1054,343,92,2.108,0
20/05/2022,07:09:04 ,ICPKNW,5.8,39,1415,626,61,2.83,2
20/05/2022,07:09:08 ,ICPKNW,7.4,25,1116,10,57,2.232,5
20/05/2022,07:09:12 ,ICPKNW,7.4,30,970,927,47,1.94,13
20/05/2022,07:09:16 ,ICPKNW,5.3,32,1254,56,65,2.508,4
20/05/2022,07:09:20 ,ICPKNW,7.1,40,907,223,37,1.814,5
20/05/2022,07:09:24 ,ICPKNW,6.3,19,1032,262,80,2.064,0
20/05/2022,07:09:28 ,ICPKNW,6.2,27,281,1000,91,0.562,11
20/05/2022,07:09:32 ,ICPKNW,5.8,18,308,357,15,0.616,3
20/05/2022,07:09:36 ,ICPKNW,4.9,19,1423,2,93,2.846,4
20/05/2022,07:09:40 ,ICPKNW,7.5,16,933,106,31,1.866,5
20/05/2022,07:09:44 ,ICPKNW,4.1,31,206,819,86,0.412,14
20/05/2022,07:09:48 ,ICPKNW,4,36,413,461,63,0.826,16
20/05/2022,07:09:52 ,ICPKNW,5.1,30,132,847,14,0.264,14
20/05/2022,07:09:56 ,ICPKNW,6.5,39,119,759,46,0.238,11
20/05/2022,07:10:00 ,ICPKNW,4.2,35,707,229,40,1.414,4
20/05/2022,07:10:04 ,ICPKNW,6.1,16,237,51,44,0.474,3
20/05/2022,07:10:08 ,ICPKNW,6.4,18,137,386,18,0.274,3
20/05/2022,07:10:12 ,ICPKNW,4.3,19,739,440,75,1.478,4
20/05/2022,07:10:16 ,ICPKNW,8,36,552,792,61,1.104,15
20/05/2022,07:10:20 ,ICPKNW,4.6,29,228,883,69,0.456,14
20/05/2022,07:10:24 ,ICPKNW,6.3,25,972,732,59,1.944,2
20/05/2022,07:10:28 ,ICPKNW,6,31,1066,641,67,2.132,2
20/05/2022,07:10:32 ,ICPKNW,7.5,20,102,854,74,0.204,15
20/05/2022,07:10:36 ,ICPKNW,6,28,213,602,83,0.426,11
20/05/2022,07:10:40 ,ICPKNW,7.4,37,1302,978,64,2.604,13
20/05/2022,07:10:44 ,ICPKNW,4.9,33,878,465,41,1.756,4
20/05/2022,07:10:48 ,ICPKNW,4.7,26,1471,623,67,2.942,12
20/05/2022,07:10:52 ,ICPKNW,5.5,18,670,816,86,1.34,11
20/05/2022,07:10:56 ,ICPKNW,7.2,38,675,840,16,1.35,15
20/05/2022,07:11:00 ,ICPKNW,5.1,27,290,469,10,0.58,16
20/05/2022,07:11:04 ,ICPKNW,4.1,37,609,364,61,1.218,16
20/05/2022,07:11:08 ,ICPKNW,4.4,18,1129,949,69,2.258,12
20/05/2022,07:11:12 ,ICPKNW,4.1,40,751,985,23,1.502,12
20/05/2022,07:11:16 ,ICPKNW,6.7,40,1420,74,44,2.84,5
20/05/2022,07:11:20 ,ICPKNW,6.8,36,436,945,22,0.872,15
20/05/2022,07:11:24 ,ICPKNW,6.5,25,499,243,76,0.998,3
20/05/2022,07:11:28 ,ICPKNW,7.7,25,619,212,45,1.238,17
20/05/2022,07:11:32 ,ICPKNW,6.7,25,464,330,89,0.928,17
20/05/2022,07:11:36 ,ICPKNW,4.9,18,300,1010,41,0.6,14
20/05/2022,07:11:40 ,ICPKNW,7,40,1330,275,59,2.66,5
20/05/2022,07:11:44 ,ICPKNW,7.9,34,475,555,16,0.95,15
20/05/2022,07:11:48 ,ICPKNW,6.9,25,938,854,100,1.876,13
20/05/2022,07:11:52 ,ICPKNW,4.4,30,1071,504,27,2.142,4
20/05/2022,07:11:56 ,ICPKNW,6.2,39,267,65,77,0.534,3
20/05/2022,07:12:00 ,ICPKNW,4.8,36,123,503,29,0.246,16
20/05/2022,07:12:04 ,ICPKNW,6.8,16,732,388,94,1.464,5
20/05/2022,07:12:08 ,ICPKNW,5.1,38,184,765,88,0.368,14
20/05/2022,07:12:12 ,ICPKNW,6.3,17,1354,199,23,2.708,0
20/05/2022,07:12:16 ,ICPKNW,6.8,27,230,798,71,0.46,15
20/05/2022,07:12:20 ,ICPKNW,5.6,30,401,802,11,0.802,11
20/05/2022,07:12:24 ,ICPKNW,4.5,31,395,245,65,0.79,16
20/05/2022,07:12:28 ,ICPKNW,5.5,27,173,414,84,0.346,3
20/05/2022,07:12:32 ,ICPKNW,5.7,30,969,562,21,1.938,2
20/05/2022,07:12:36 ,ICPKNW,6.4,31,317,282,23,0.634,3
20/05/2022,07:12:40 ,ICPKNW,6.3,22,1262,812,47,2.524,2
20/05/2022,07:12:44 ,ICPKNW,4.6,34,1193,520,33,2.386,4
20/05/2022,07:12:48 ,ICPKNW,6.3,31,520,226,32,1.04,3
20/05/2022,07:12:52 ,ICPKNW,5.6,25,1188,1011,29,2.376,2
20/05/2022,07:12:56 ,ICPKNW,7.7,37,633,900,74,1.266,15
20/05/2022,07:13:00 ,ICPKNW,6.4,27,1140,46,12,2.28,0
20/05/2022,07:13:04 ,ICPKNW,6.2,21,1281,25,19,2.562,0
20/05/2022,07:13:08 ,ICPKNW,6.5,31,1257,641,68,2.514,2
20/05/2022,07:13:12 ,ICPKNW,5.2,22,167,968,94,0.334,14
20/05/2022,07:13:16 ,ICPKNW,6.3,39,722,53,55,1.444,0
20/05/2022,07:13:20 ,ICPKNW,5.9,31,694,588,56,1.388,11
20/05/2022,07:13:24 ,ICPKNW,4.7,39,651,77,11,1.302,16
20/05/2022,07:13:28 ,ICPKNW,6.2,23,345,452,14,0.69,3
20/05/2022,07:13:32 ,ICPKNW,6.3,25,1055,274,69,2.11,0
20/05/2022,07:13:36 ,ICPKNW,4.1,40,1214,450,30,2.428,4
20/05/2022,07:13:40 ,ICPKNW,4.9,40,532,1019,77,1.064,14
20/05/2022,07:13:44 ,ICPKNW,5.6,18,645,836,10,1.29,11
20/05/2022,07:13:48 ,ICPKNW,6.9,20,325,1003,91,0.65,15
20/05/2022,07:13:52 ,ICPKNW,5.4,34,1460,493,82,2.92,4
20/05/2022,07:13:56 ,ICPKNW,7.3,17,172,351,82,0.344,17
20/05/2022,07:14:00 ,ICPKNW,6.4,17,1253,137,85,2.506,0
20/05/2022,07:14:04 ,ICPKNW,4.4,26,864,775,99,1.728,12
20/05/2022,07:14:08 ,ICPKNW,7.6,31,1208,951,44,2.416,13
20/05/2022,07:14:12 ,ICPKNW,6.5,16,1414,81,43,2.828,0
20/05/2022,07:14:16 ,ICPKNW,6.2,17,1082,104,14,2.164,0
20/05/2022,07:14:20 ,ICPKNW,6.1,17,455,271,18,0.91,3
20/05/2022,07:14:24 ,ICPKNW,6.8,34,471,548,25,0.942,17
20/05/2022,07:14:28 ,ICPKNW,5.5,29,385,252,28,0.77,3
20/05/2022,07:14:32 ,ICPKNW,5,40,230,284,60,0.46,16
20/05/2022,07:14:36 ,ICPKNW,4.9,39,530,461,87,1.06,16
20/05/2022,07:14:40 ,ICPKNW,4.1,23,556,912,80,1.112,14
20/05/2022,07:14:44 ,ICPKNW,4.3,25,1387,28,57,2.774,4
20/05/2022,07:14:48 ,ICPKNW,7.6,24,1268,916,76,2.536,13
20/05/2022,07:14:52 ,ICPKNW,6.7,33,649,432,94,1.298,17
20/05/2022,07:14:56 ,ICPKNW,5.1,36,791,972,42,1.582,12
20/05/2022,07:15:00 ,ICPKNW,4.3,18,643,358,25,1.286,16
20/05/2022,07:15:04 ,ICPKNW,6.7,38,701,292,95,1.402,5
20/05/2022,07:15:08 ,ICPKNW,8,36,267,467,57,0.534,17
20/05/2022,07:15:12 ,ICPKNW,6.8,32,145,85,89,0.29,17
20/05/2022,07:15:16 ,ICPKNW,6.5,24,1191,100,34,2.382,0
20/05/2022,07:15:20 ,ICPKNW,4.4,37,484,141,38,0.968,16
20/05/2022,07:15:24 ,ICPKNW,7.2,25,255,738,57,0.51,15
20/05/2022,07:15:28 ,ICPKNW,5,31,566,545,20,1.132,16
20/05/2022,07:15:32 ,ICPKNW,7.9,20,490,39,62,0.98,17
20/05/2022,07:15:36 ,ICPKNW,7.2,22,1041,927,24,2.082,13
20/05/2022,07:15:40 ,ICPKNW,6.9,32,365,437,68,0.73,17
20/05/2022,07:15:44 ,ICPKNW,7.8,22,1009,980,95,2.018,13
20/05/2022,07:15:48 ,ICPKNW,5.1,27,1433,76,88,2.866,4
20/05/2022,07:15:52 ,ICPKNW,4.7,28,1400,536,83,2.8,4
20/05/2022,07:15:56 ,ICPKNW,7,25,680,381,37,1.36,17
20/05/2022,07:16:00 ,ICPKNW,5.9,36,1248,907,51,2.496,2
20/05/2022,07:16:04 ,ICPKNW,5.1,37,1324,594,74,2.648,12
20/05/2022,07:16:08 ,ICPKNW,4.5,24,513,203,22,1.026,16
20/05/2022,07:16:12 ,ICPKNW,6,25,295,8,25,0.59,3
20/05/2022,07:16:16 ,ICPKNW,5.3,23,462,271,23,0.924,16
20/05/2022,07:16:20 ,ICPKNW,6.1,20,1201,164,69,2.402,0
20/05/2022,07:16:24 ,ICPKNW,7.4,34,973,491,100,1.946,5
20/05/2022,07:16:28 ,ICPKNW,5.1,17,911,476,55,1.822,4
20/05/2022,07:16:32 ,ICPKNW,7.6,35,585,1010,97,1.17,15
20/05/2022,07:16:36 ,ICPKNW,7.4,18,1106,331,92,2.212,5
20/05/2022,07:16:40 ,ICPKNW,7.8,37,643,999,41,1.286,15
20/05/2022,07:16:44 ,ICPKNW,5.4,21,928,255,70,1.856,4
20/05/2022,07:16:48 ,ICPKNW,6.6,40,552,216,27,1.104,17
20/05/2022,07:16:52 ,ICPKNW,8,29,850,272,92,1.7,5
20/05/2022,07:16:56 ,ICPKNW,6.1,27,346,62,54,0.692,3
20/05/2022,07:17:00 ,ICPKNW,7.9,34,825,643,11,1.65,13
20/05/2022,07:17:04 ,ICPKNW,4.1,21,1393,566,78,2.786,12
20/05/2022,07:17:08 ,ICPKNW,7.7,22,598,133,25,1.196,17
20/05/2022,07:17:12 ,ICPKNW,5.2,28,1247,693,25,2.494,12
20/05/2022,07:17:16 ,ICPKNW,6.8,24,1448,103,37,2.896,5
20/05/2022,07:17:20 ,ICPKNW,7.6,37,498,720,84,0.996,15
20/05/2022,07:17:24 ,ICPKNW,6,16,276,924,91,0.552,11
20/05/2022,07:17:28 ,ICPKNW,6.1,38,227,874,76,0.454,11
20/05/2022,07:17:32 ,ICPKNW,5.5,20,547,724,79,1.094,11
20/05/2022,07:17:36 ,ICPKNW,4,23,269,890,35,0.538,14
20/05/2022,07:17:40 ,ICPKNW,4.4,31,699,340,60,1.398,16
20/05/2022,07:17:44 ,ICPKNW,5.8,24,534,914,14,1.068,11
20/05/2022,07:17:48 ,ICPKNW,7.7,31,1107,385,43,2.214,5
20/05/2022,07:17:52 ,ICPKNW,4.5,34,1148,488,55,2.296,4
20/05/2022,07:17:56 ,ICPKNW,6.8,23,1158,106,71,2.316,5
20/05/2022,07:18:00 ,ICPKNW,6,37,431,253,48,0.862,3
20/05/2022,07:18:04 ,ICPKNW,5.1,21,1256,946,89,2.512,12
20/05/2022,07:18:08 ,ICPKNW,7.4,25,541,989,87,1.082,15
20/05/2022,07:18:12 ,ICPKNW,7.5,36,234,817,62,0.468,15
20/05/2022,07:18:16 ,ICPKNW,4,32,603,22,90,1.206,16
20/05/2022,07:18:20 ,ICPKNW,4.3,37,876,833,37,1.752,12
20/05/2022,07:18:24 ,ICPKNW,8,37,825,125,43,1.65,5
20/05/2022,07:18:28 ,ICPKNW,5.6,34,971,83,54,1.942,0
20/05/2022,07:18:32 ,ICPKNW,6.1,23,201,667,79,0.402,11
20/05/2022,07:18:36 ,ICPKNW,5.4,31,610,307,42,1.22,16
20/05/2022,07:18:40 ,ICPKNW,6.3,19,297,335,38,0.594,3
20/05/2022,07:18:44 ,ICPKNW,5.3,26,1104,935,16,2.208,12
20/05/2022,07:18:48 ,ICPKNW,7.9,28,418,796,37,0.836,15
20/05/2022,07:18:52 ,ICPKNW,5.8,20,463,105,49,0.926,3
20/05/2022,07:18:56 ,ICPKNW,6.3,23,109,326,27,0.218,3
20/05/2022,07:19:00 ,ICPKNW,7.4,40,573,567,72,1.146,15
20/05/2022,07:19:04 ,ICPKNW,5.3,25,469,550,57,0.938,16
20/05/2022,07:19:08 ,ICPKNW,6.3,38,1485,343,14,2.97,0
20/05/2022,07:19:12 ,ICPKNW,7.3,17,523,535,65,1.046,17
20/05/2022,07:19:16 ,ICPKNW,5.7,33,1423,562,21,2.846,2
20/05/2022,07:19:20 ,ICPKNW,7.8,29,730,529,87,1.46,5
20/05/2022,07:19:24 ,ICPKNW,7.1,39,447,27,97,0.894,17
20/05/2022,07:19:28 ,ICPKNW,5.2,37,1207,810,76,2.414,12
20/05/2022,07:19:32 ,ICPKNW,7.2,19,1254,953,75,2.508,13
20/05/2022,07:19:36 ,ICPKNW,6.4,30,1164,369,91,2.328,0
20/05/2022,07:19:40 ,ICPKNW,5.3,18,1298,196,10,2.596,4
20/05/2022,07:19:44 ,ICPKNW,6.6,38,272,450,21,0.544,17
20/05/2022,07:19:48 ,ICPKNW,7,16,1048,338,15,2.096,5
20/05/2022,07:19:52 ,ICPKNW,6.8,30,900,633,36,1.8,13
20/05/2022,07:19:56 ,ICPKNW,7.8,26,1489,77,88,2.978,5
20/05/2022,07:20:00 ,ICPKNW,4.3,37,545,802,100,1.09,14
20/05/2022,07:20:04 ,ICPKNW,5.4,25,1130,827,44,2.26,12
20/05/2022,07:20:08 ,ICPKNW,5,38,1047,774,66,2.094,12
20/05/2022,07:20:12 ,ICPKNW,7.3,34,919,925,77,1.838,13
20/05/2022,07:20:16 ,ICPKNW,7.5,22,782,9,89,1.564,5
20/05/2022,07:20:20 ,ICPKNW,6.3,26,856,787,68,1.712,2
20/05/2022,07:20:24 ,ICPKNW,4.4,21,191,379,48,0.382,16
20/05/2022,07:20:28 ,ICPKNW,6.4,18,1278,183,82,2.556,0
20/05/2022,07:20:32 ,ICPKNW,6.5,35,181,86,30,0.362,3
20/05/2022,07:20:36 ,ICPKNW,4.8,16,1116,456,58,2.232,4
20/05/2022,07:20:40 ,ICPKNW,4.6,37,879,576,68,1.758,12
20/05/2022,07:20:44 ,ICPKNW,5.9,23,1125,355,81,2.25,0
20/05/2022,07:20:48 ,ICPKNW,4.2,40,198,615,93,0.396,14
20/05/2022,07:20:52 ,ICPKNW,7,20,1246,92,87,2.492,5
20/05/2022,07:20:56 ,ICPKNW,7.9,17,1004,115,24,2.008,5
20/05/2022,07:21:00 ,ICPKNW,4.7,30,1477,430,19,2.954,4
20/05/2022,07:21:04 ,ICPKNW,6.6,29,937,911,59,1.874,13
20/05/2022,07:21:08 ,ICPKNW,6.5,18,234,204,97,0.468,3
20/05/2022,07:21:12 ,ICPKNW,7.1,34,1287,575,71,2.574,13
20/05/2022,07:21:16 ,ICPKNW,5.5,22,1114,1010,66,2.228,2
20/05/2022,07:21:20 ,ICPKNW,5,22,1494,497,79,2.988,4
20/05/2022,07:21:24 ,ICPKNW,6.9,22,127,817,15,0.254,15
20/05/2022,07:21:28 ,ICPKNW,5.6,27,703,595,91,1.406,2
20/05/2022,07:21:32 ,ICPKNW,4,22,820,899,65,1.64,12
20/05/2022,07:21:36 ,ICPKNW,7.1,31,739,36,53,1.478,5
20/05/2022,07:21:40 ,ICPKNW,7.2,23,974,62,100,1.948,5
20/05/2022,07:21:44 ,ICPKNW,6,37,1040,1020,12,2.08,2
20/05/2022,07:21:48 ,ICPKNW,7.5,29,1331,665,89,2.662,13
20/05/2022,07:21:52 ,ICPKNW,6.5,24,539,36,65,1.078,3
20/05/2022,07:21:56 ,ICPKNW,7.5,24,784,323,42,1.568,5
20/05/2022,07:22:00 ,ICPKNW,7.2,29,1015,715,22,2.03,13
20/05/2022,07:22:04 ,ICPKNW,6.1,17,1315,979,75,2.63,2
20/05/2022,07:22:08 ,ICPKNW,7.6,31,999,392,24,1.998,5
20/05/2022,07:22:12 ,ICPKNW,5.2,36,994,801,23,1.988,12
20/05/2022,07:22:16 ,ICPKNW,4.3,24,413,242,85,0.826,16
20/05/2022,07:22:20 ,ICPKNW,6.6,26,613,848,48,1.226,15
20/05/2022,07:22:24 ,ICPKNW,7.4,35,1436,570,50,2.872,13
20/05/2022,07:22:28 ,ICPKNW,5.6,29,1160,260,41,2.32,0
20/05/2022,07:22:32 ,ICPKNW,5.8,34,1351,270,30,2.702,0
20/05/2022,07:22:36 ,ICPKNW,7.9,25,227,872,99,0.454,15
20/05/2022,07:22:40 ,ICPKNW,5.5,22,412,414,59,0.824,3
20/05/2022,07:22:44 ,ICPKNW,5.3,17,972,257,92,1.944,4
20/05/2022,07:22:48 ,ICPKNW,7.1,23,639,192,58,1.278,17
20/05/2022,07:22:52 ,ICPKNW,6.5,16,424,274,73,0.848,3
20/05/2022,07:22:56 ,ICPKNW,5.3,29,152,963,64,0.304,14
20/05/2022,07:23:00 ,ICPKNW,5.3,35,867,141,79,1.734,4
